\u0061\u0069,\u0A90
\u0061\u0075,\u0A94
\u0061,\u0A85
\u0101,\u0A86
\u0069,\u0A87
\u012B,\u0A88
\u0075,\u0A89
\u016B,\u0A8A
\u0065,\u0A8F
\u006F,\u0A93
\u006B\u0068,\u0A96\u0ACD
\u0067\u0068,\u0A98\u0ACD
\u0063\u0068,\u0A9B\u0ACD
\u006A\u0068,\u0A9D\u0ACD
\u1E6D\u0068,\u0AA0\u0ACD
\u1E0D\u0068,\u0AA2\u0ACD
\u0074\u0068,\u0AA5\u0ACD
\u0064\u0068,\u0AA7\u0ACD
\u0070\u0068,\u0AAB\u0ACD
\u0062\u0068,\u0AAD\u0ACD
\u006B,\u0A95\u0ACD
\u0067,\u0A97\u0ACD
\u1E45,\u0A99\u0ACD
\u0063,\u0A9A\u0ACD
\u006A,\u0A9C\u0ACD
\u00F1,\u0A9E\u0ACD
\u1E6D,\u0A9F\u0ACD
\u1E0D,\u0AA1\u0ACD
\u1E47,\u0AA3\u0ACD
\u0074,\u0AA4\u0ACD
\u0064,\u0AA6\u0ACD
\u006E,\u0AA8\u0ACD
\u0070,\u0AAA\u0ACD
\u0062,\u0AAC\u0ACD
\u006D,\u0AAE\u0ACD
\u0079,\u0AAF\u0ACD
\u0072,\u0AB0\u0ACD
\u006C,\u0AB2\u0ACD
\u1E37,\u0AB3\u0ACD
\u0076,\u0AB5\u0ACD
\u0073,\u0AB8\u0ACD
\u0068,\u0AB9\u0ACD
\u0ACD\u0A90,\u0AC8
\u0ACD\u0A94,\u0ACC
\u0ACD\u0A85,
\u0ACD\u0A86,\u0ABE
\u0ACD\u0A87,\u0ABF
\u0ACD\u0A88,\u0AC0
\u0ACD\u0A89,\u0AC1
\u0ACD\u0A8A,\u0AC2
\u0ACD\u0A8F,\u0AC7
\u0ACD\u0A93,\u0ACB
\u1E41,\u0A82
\u007C\u007C,\u0965
\u007C,\u0964
\u002E,\u0964
\u0030,\u0AE6
\u0031,\u0AE7
\u0032,\u0AE8
\u0033,\u0AE9
\u0034,\u0AEA
\u0035,\u0AEB
\u0036,\u0AEC
\u0037,\u0AED
\u0038,\u0AEE
\u0039,\u0AEF
