\u006B\u0068,\u0E82\u0EBA
\u0067\u0068,\u0E86\u0EBA
\u0063\u0068,\u0E89\u0EBA
\u006A\u0068,\u0E8C\u0EBA
\u1E6D\u0068,\u0E90\u0EBA
\u1E0D\u0068,\u0E92\u0EBA
\u0074\u0068,\u0E96\u0EBA
\u0064\u0068,\u0E98\u0EBA
\u0070\u0068,\u0E9C\u0EBA
\u0062\u0068,\u0EA0\u0EBA
\u006B,\u0E81\u0EBA
\u0067,\u0E84\u0EBA
\u1E45,\u0E87\u0EBA
\u0063,\u0E88\u0EBA
\u006A,\u0E8A\u0EBA
\u00F1,\u0E8E\u0EBA
\u1E6D,\u0E8F\u0EBA
\u1E0D,\u0E91\u0EBA
\u1E47,\u0E93\u0EBA
\u0074,\u0E95\u0EBA
\u0064,\u0E97\u0EBA
\u006E,\u0E99\u0EBA
\u0070,\u0E9B\u0EBA
\u0062,\u0E9E\u0EBA
\u006D,\u0EA1\u0EBA
\u0079,\u0E8D\u0EBA
\u0072,\u0EA3\u0EBA
\u006C,\u0EA5\u0EBA
\u1E37,\u0EAC\u0EBA
\u0076,\u0EA7\u0EBA
\u0073,\u0EAA\u0EBA
\u0068,\u0EAB\u0EBA
\u0061,\u0EAD
\u0101,\u0EAD\u0EB2
\u0069,\u0EAD\u0EB4
\u012B,\u0EAD\u0EB5
\u0075,\u0EAD\u0EB8
\u016B,\u0EAD\u0EB9
\u0065,\u0EC0\u0EAD
\u006F,\u0EC2\u0EAD
\u0EBA\u0EAD\u0EB2,\u0EB2
\u0EBA\u0EAD,\u24D0
\u0EBA\u0EAD\u0EB4,\u0EB4
\u0EBA\u0EAD\u0EB5,\u0EB5
\u0EBA\u0EAD\u0EB8,\u0EB8
\u0EBA\u0EAD\u0EB9,\u0EB9
\u0EBA\u0EC0\u0EAD,\u0EC0
\u0EBA\u0EC2\u0EAD,\u0EC2
\u0E82\u0EC0,\u0EC0\u0E82
\u0E86\u0EC0,\u0EC0\u0E86
\u0E89\u0EC0,\u0EC0\u0E89
\u0E8C\u0EC0,\u0EC0\u0E8C
\u0E90\u0EC0,\u0EC0\u0E90
\u0E92\u0EC0,\u0EC0\u0E92
\u0E96\u0EC0,\u0EC0\u0E96
\u0E98\u0EC0,\u0EC0\u0E98
\u0E9C\u0EC0,\u0EC0\u0E9C
\u0EA0\u0EC0,\u0EC0\u0EA0
\u0E81\u0EC0,\u0EC0\u0E81
\u0E84\u0EC0,\u0EC0\u0E84
\u0E87\u0EC0,\u0EC0\u0E87
\u0E88\u0EC0,\u0EC0\u0E88
\u0E8A\u0EC0,\u0EC0\u0E8A
\u0E8E\u0EC0,\u0EC0\u0E8E
\u0E8F\u0EC0,\u0EC0\u0E8F
\u0E91\u0EC0,\u0EC0\u0E91
\u0E93\u0EC0,\u0EC0\u0E93
\u0E95\u0EC0,\u0EC0\u0E95
\u0E97\u0EC0,\u0EC0\u0E97
\u0E99\u0EC0,\u0EC0\u0E99
\u0E9B\u0EC0,\u0EC0\u0E9B
\u0E9E\u0EC0,\u0EC0\u0E9E
\u0EA1\u0EC0,\u0EC0\u0EA1
\u0E8D\u0EC0,\u0EC0\u0E8D
\u0EA3\u0EC0,\u0EC0\u0EA3
\u0EA5\u0EC0,\u0EC0\u0EA5
\u0EAC\u0EC0,\u0EC0\u0EAC
\u0EA7\u0EC0,\u0EC0\u0EA7
\u0EAA\u0EC0,\u0EC0\u0EAA
\u0EAB\u0EC0,\u0EC0\u0EAB
\u0E82\u0EC2,\u0EC2\u0E82
\u0E86\u0EC2,\u0EC2\u0E86
\u0E89\u0EC2,\u0EC2\u0E89
\u0E8C\u0EC2,\u0EC2\u0E8C
\u0E90\u0EC2,\u0EC2\u0E90
\u0E92\u0EC2,\u0EC2\u0E92
\u0E96\u0EC2,\u0EC2\u0E96
\u0E98\u0EC2,\u0EC2\u0E98
\u0E9C\u0EC2,\u0EC2\u0E9C
\u0EA0\u0EC2,\u0EC2\u0EA0
\u0E81\u0EC2,\u0EC2\u0E81
\u0E84\u0EC2,\u0EC2\u0E84
\u0E87\u0EC2,\u0EC2\u0E87
\u0E88\u0EC2,\u0EC2\u0E88
\u0E8A\u0EC2,\u0EC2\u0E8A
\u0E8E\u0EC2,\u0EC2\u0E8E
\u0E8F\u0EC2,\u0EC2\u0E8F
\u0E91\u0EC2,\u0EC2\u0E91
\u0E93\u0EC2,\u0EC2\u0E93
\u0E95\u0EC2,\u0EC2\u0E95
\u0E97\u0EC2,\u0EC2\u0E97
\u0E99\u0EC2,\u0EC2\u0E99
\u0E9B\u0EC2,\u0EC2\u0E9B
\u0E9E\u0EC2,\u0EC2\u0E9E
\u0EA1\u0EC2,\u0EC2\u0EA1
\u0E8D\u0EC2,\u0EC2\u0E8D
\u0EA3\u0EC2,\u0EC2\u0EA3
\u0EA5\u0EC2,\u0EC2\u0EA5
\u0EAC\u0EC2,\u0EC2\u0EAC
\u0EA7\u0EC2,\u0EC2\u0EA7
\u0EAA\u0EC2,\u0EC2\u0EAA
\u0EAB\u0EC2,\u0EC2\u0EAB
\u24D0,
\u1E41,\u0ECD
\u007C\u007C,\u0EAF\u0EAF
\u007C,\u0EAF
\u002E,\u0EAF
\u0030,\u0ED0
\u0031,\u0ED1
\u0032,\u0ED2
\u0033,\u0ED3
\u0034,\u0ED4
\u0035,\u0ED5
\u0036,\u0ED6
\u0037,\u0ED7
\u0038,\u0ED8
\u0039,\u0ED9
